h_magnitude,albedo,diameter_m,density_kg_m3,mass_kg,strength_mpa,latitude,longitude,entry_angle_deg,entry_velocity_kms,impact_energy_mt,burst_altitude_km,surface_impact_energy_mt,blast_radius_1psi_km,blast_radius_4psi_km,thermal_radius_3rd_degree_burns_km,tsunami_runup_m,global_effects_fraction,affected_population_local,affected_population_tsunami,affected_population_global,max_affected_population
22.0,0.4633785595348993,77.72433471320913,4274.929900917855,1050990184.5554191,0.10264152784084543,6.658567268507767,17.35550579157794,17.874171201853542,20.60220828852157,53.309490976701476,31.817000417315707,0.0,56.45374678505942,22.58149871402377,18.81791559501981,0,0.0,152287.63024834264,0.0,0.0,152287.63024834264
22.0,0.2769292855902248,100.5403836904373,4147.584182400629,2207066641.5090938,0.19673311591105985,-20.799517353581408,-135.5804070979871,22.359281326239167,24.544409743448206,158.89087623103907,29.159029167312028,0.0,81.24392796114566,32.49757118445826,27.081309320381884,0,0.0,315399.4353941826,0.0,0.0,315399.4353941826
22.0,0.057717336836689156,220.22764718018576,4405.000925935708,24635429787.24511,1.3381136576874162,89.51177252367592,-49.17118309398501,65.2501867113285,24.671577676664988,1791.9765260811198,12.624780651231763,0.0,182.19454276617316,72.87781710646927,60.731514255391055,0,0.0,1586170.307358889,0.0,0.0,1586170.307358889
22.0,0.08154966372142011,185.27375077637674,2241.0112121300936,7462499804.169462,0.28233006398144095,-31.031434116930313,-52.98310516638753,56.507655612720846,14.112766135252302,177.61798991506555,20.343304666436563,0.0,84.31798952381442,33.72719580952576,28.105996507938137,0,0.0,339718.7927825623,0.0,0.0,339718.7927825623
22.0,0.20643057424689235,116.44959182520395,4631.002619009815,3829019346.912556,0.16040888633822648,51.02526599341766,-19.415333921599995,52.47340212472472,11.105636050209965,56.43555012758873,27.7134052721267,0.0,57.53633309806489,23.014533239225955,19.178777699354963,0,0.0,158184.32540935083,0.0,0.0,158184.32540935083
22.0,0.35301597472908985,89.0487446912365,5352.294668184989,1978891771.0912166,1.2127708443579845,-82.9179683940219,-168.4166098484163,45.643224573398086,16.779396997999452,66.58142257964649,26.24404215344441,0.0,60.79608531090621,24.31843412436248,20.265361770302068,0,0.0,176616.1112640463,0.0,0.0,176616.1112640463
22.0,0.40686284503013437,82.9470538425852,3156.253268074231,943133916.1567192,2.9692548130177134,-2.2696464305884803,38.661156019188695,41.041397561961304,16.20275542245362,29.58894252456284,19.828275363670627,0.0,46.39463266238682,18.557853064954728,15.46487755412894,0,0.0,102852.43257144131,0.0,0.0,102852.43257144131
22.0,0.1983746687234646,118.79054468477429,2645.170841981405,2321656531.582253,0.2704753532838811,-23.134275019895128,-130.1512274007372,27.076533544475982,15.490165147981898,66.57150796750693,27.039044118387046,0.0,60.79306745445329,24.317226981781317,20.2643558181511,0,0.0,176598.5776074137,0.0,0.0,176598.5776074137
22.0,0.4985937462897911,74.92928137984752,6144.1567278740295,1353367085.4229217,5.829159810947926,-24.11899487199136,-28.546373374984256,56.387518880532575,19.298778732097684,60.23564874160609,0.0,60.23564874160609,58.799791994007926,23.51991679760317,19.59993066466931,0,0.0,165207.8450080197,0.0,0.0,165207.8450080197
22.0,0.4362053776840956,80.10866110861141,6996.32663720787,1883246284.1902614,0.6663279331654851,11.828514058690246,-1.2532509868856039,72.30546522490914,13.089425395891135,38.55907544463284,29.32382215647692,0.0,50.675743554477606,20.27029742179104,16.8919145181592,0,0.0,122709.82766850849,0.0,0.0,122709.82766850849
